Test,Workers,StartTime,WorkersReady,MasterConnected,LauncherTime
launcher_2w,2,1766594638.757389314,1766594638.761243374,1766594640.768046595,2.072
launcher_2w,2,1766594643.849863815,1766594643.854571750,1766594645.844026277,2.052
launcher_2w,2,1766594648.917818242,1766594648.922577983,1766594650.924541873,2.064
launcher_3w,3,1766594654.253653986,1766594654.258583180,1766594656.776235215,2.579
launcher_3w,3,1766594660.357815906,1766594660.363609489,1766594662.867976167,2.569
launcher_3w,3,1766594666.465958304,1766594666.471171397,1766594668.968297178,2.560
launcher_4w,4,1766594672.822584134,1766594672.828143143,1766594675.824195171,3.060
launcher_4w,4,1766594679.930304178,1766594679.935384258,1766594682.940267412,3.068
launcher_4w,4,1766594687.038951776,1766594687.044436490,1766594690.064348115,3.084
launcher_5w,5,1766594694.406418057,1766594694.412603845,1766594697.907946294,3.559
launcher_5w,5,1766594702.514266241,1766594702.520259198,1766594706.012765604,3.556
launcher_5w,5,1766594710.618376620,1766594710.623791870,1766594714.148802121,3.589
launcher_6w,6,1766594719.006702610,1766594719.013048669,1766594723.024119518,4.075
launcher_6w,6,1766594728.138462019,1766594728.145102221,1766594732.168459696,4.087
launcher_6w,6,1766594737.266720958,1766594737.273646804,1766594741.310573436,4.102
launcher_7w,7,1766594746.678386572,1766594746.685089121,1766594751.226107930,4.606
launcher_7w,7,1766594756.866410394,1766594756.873101644,1766594761.408617656,4.601
launcher_7w,7,1766594767.054227791,1766594767.061103043,1766594771.600539535,4.605
launcher_8w,8,1766594777.491002176,1766594777.498096947,1766594782.524928732,5.092
launcher_8w,8,1766594788.690189518,1766594788.697201976,1766594793.728549261,5.098
launcher_8w,8,1766594799.878599560,1766594799.885672320,1766594804.924519697,5.103
